Freq	Theta
5000	122.446
5050	109.417
5100	109.322
5150	109.234
5200	109.438
5250	109.19
5300	109.417
5350	109.432
5400	109.277
5450	109.219
5500	109.337
5550	109.398
5600	109.301
5650	109.386
5700	109.306
5750	109.307
5800	109.373
5850	109.254
5900	109.349
5950	109.326
6000	109.357
6050	109.382
6100	109.423
6150	109.388
6200	109.45
6250	109.468
6300	109.314
6350	109.249
6400	109.457
6450	109.339
6500	109.233
6550	109.43
6600	109.316
6650	109.401
6700	109.277
6750	109.183
6800	109.224
6850	109.561
6900	109.456
6950	109.432
7000	109.353
7050	109.265
7100	109.381
7150	109.249
7200	109.414
7250	109.456
7300	109.454
7350	109.397
7400	109.363
7450	109.395
7500	109.372
7550	109.322
7600	109.216
7650	109.265
7700	109.265
7750	109.218
7800	109.255
7850	109.429
7900	109.349
7950	109.264
8000	109.382
8050	109.408
8100	109.394
8150	109.428
8200	109.403
8250	109.419
8300	109.396
8350	109.45
8400	109.325
8450	109.384
8500	109.383
8550	109.402
8600	109.331
8650	109.366
8700	109.401
8750	109.357
8800	109.327
8850	109.448
8900	109.386
8950	109.319
9000	109.449
9050	109.475
9100	109.349
9150	109.32
9200	109.493
9250	109.494
9300	109.328
9350	109.351
9400	109.368
9450	109.453
9500	109.393
9550	109.4
9600	109.479
9650	109.397
9700	109.323
9750	109.452
9800	109.334
9850	109.375
9900	109.473
9950	109.303
10000	109.297
10050	109.304
10100	109.316
10150	109.387
10200	109.384
10250	109.34
10300	109.415
10350	109.465
10400	109.476
10450	109.342
10500	109.368
10550	109.405
10600	109.359
10650	109.409
10700	109.336
10750	109.38
10800	109.389
10850	109.295
10900	109.442
10950	109.443
11000	109.282
11050	109.421
11100	109.451
11150	109.352
11200	109.439
11250	109.358
11300	109.325
11350	109.46
11400	109.468
11450	109.361
11500	109.402
11550	109.473
11600	109.391
11650	109.415
11700	109.401
11750	109.427
11800	109.357
11850	109.364
11900	109.439
11950	109.414
12000	109.353
12050	109.325
12100	109.396
12150	109.406
12200	109.39
12250	109.459
12300	109.392
12350	109.436
12400	109.435
12450	109.429
12500	109.396
12550	109.434
12600	109.508
12650	109.36
12700	109.443
12750	109.405
12800	109.406
12850	109.341
12900	109.48
12950	109.396
13000	109.405
13050	109.419
13100	109.411
13150	109.359
13200	109.5
13250	109.487
13300	109.397
13350	109.451
13400	109.396
13450	109.377
13500	109.425
13550	109.407
13600	109.445
13650	109.504
13700	109.37
13750	109.433
13800	109.393
13850	109.51
13900	109.462
13950	109.462
14000	109.411
14050	109.391
14100	109.431
14150	109.462
14200	109.418
14250	109.427
14300	109.479
14350	109.497
14400	109.426
14450	109.479
14500	109.454
14550	109.446
14600	109.401
14650	109.414
14700	109.473
14750	109.459
14800	109.459
14850	109.391
14900	109.415
14950	109.445
15000	109.486
15050	109.459
15100	109.428
15150	109.339
15200	109.406
15250	109.416
15300	109.519
15350	109.462
15400	109.5
15450	109.474
15500	109.432
15550	109.489
15600	109.365
15650	109.458
15700	109.487
15750	109.47
15800	109.423
15850	109.477
15900	109.505
