Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
5.00006494139999995241e+003	0.00000000000000000000e+000	5.00000000000000000000e+003	6.31645752950000015309e-006	0.00000000000000000000e+000	1.22445587160000002314e+002	0.00000000000000000000e+000	-6.29797108458559730864e-006	0.00000000000000000000e+000	4.82903654677578695391e-007	0.00000000000000000000e+000	4.28999939002096652985e-001	1	1
5.05002978520000033313e+003	0.00000000000000000000e+000	5.05000000000000000000e+003	1.01181276479999992341e-005	0.00000000000000000000e+000	1.09416748049999995374e+002	0.00000000000000000000e+000	-8.68363054881502148010e-006	0.00000000000000000000e+000	5.19336765431723913300e-006	0.00000000000000000000e+000	5.49999938928522169590e-001	1	1
5.10005957029999990482e+003	0.00000000000000000000e+000	5.10000000000000000000e+003	1.02051671999999997437e-005	0.00000000000000000000e+000	1.09321830750000003718e+002	0.00000000000000000000e+000	-8.22247182856857460000e-006	0.00000000000000000000e+000	6.04453427555440194195e-006	0.00000000000000000000e+000	6.74999938928522169590e-001	1	1
5.15004199220000009518e+003	0.00000000000000000000e+000	5.15000000000000000000e+003	1.03266220320000006675e-005	0.00000000000000000000e+000	1.09234344480000004296e+002	0.00000000000000000000e+000	-7.75408404014318724531e-006	0.00000000000000000000e+000	6.82006622329904679597e-006	0.00000000000000000000e+000	7.94999938923865556717e-001	1	1
5.20007519529999990482e+003	0.00000000000000000000e+000	5.20000000000000000000e+003	1.04059172369999995017e-005	0.00000000000000000000e+000	1.09438293459999997026e+002	0.00000000000000000000e+000	-9.04361295247333184027e-006	0.00000000000000000000e+000	5.14744386168030871665e-006	0.00000000000000000000e+000	9.23999938997440040112e-001	1	1
5.25009228520000033313e+003	0.00000000000000000000e+000	5.25000000000000000000e+003	1.04834198280000006411e-005	0.00000000000000000000e+000	1.09190124510000003966e+002	0.00000000000000000000e+000	-7.55806323284183230503e-006	0.00000000000000000000e+000	7.26483113764305139180e-006	0.00000000000000000000e+000	1.04699993901886045933e+000	1	1
5.30010498050000023795e+003	0.00000000000000000000e+000	5.30000000000000000000e+003	1.06192337629999996652e-005	0.00000000000000000000e+000	1.09416824340000005122e+002	0.00000000000000000000e+000	-9.11410816418398411331e-006	0.00000000000000000000e+000	5.44987688712267728862e-006	0.00000000000000000000e+000	1.16899993899278342724e+000	1	1
5.35028271479999966687e+003	0.00000000000000000000e+000	5.35000000000000000000e+003	1.06874213090000004815e-005	0.00000000000000000000e+000	1.09432144170000000827e+002	0.00000000000000000000e+000	-9.25557872836326180305e-006	0.00000000000000000000e+000	5.34371000702103919622e-006	0.00000000000000000000e+000	1.29199993901420384645e+000	1	1
5.40024316410000028554e+003	0.00000000000000000000e+000	5.40000000000000000000e+003	1.08047224779999996645e-005	0.00000000000000000000e+000	1.09277313230000004296e+002	0.00000000000000000000e+000	-8.41211595318322937907e-006	0.00000000000000000000e+000	6.78073248379543713061e-006	0.00000000000000000000e+000	1.41199993900954723358e+000	1	1
5.45006542970000009518e+003	0.00000000000000000000e+000	5.45000000000000000000e+003	1.09306702140000008085e-005	0.00000000000000000000e+000	1.09219131469999993556e+002	0.00000000000000000000e+000	-8.09688524724666180597e-006	0.00000000000000000000e+000	7.34302394250122207571e-006	0.00000000000000000000e+000	1.53399993898347020149e+000	1	1
